museo_id,museo_nombre,museo_tematica_n1,museo_fecha_fundacion,museo_adscripcion,nom_ent,nom_mun,museo_calle_numero,museo_colonia,museo_cp,museo_telefono1,pagina_web,pagina_web2,pagina_web3,email,facebook,twitter,instagram,gmaps_longitud,gmaps_latitud,museo_salas_exhibicion_c,museo_salas_exhibicion_tmp_c,link_sic,fecha_mod,museo_num_ext,museo_calle,direccion_complemento,museo_descripcion
2428,Galería José María Velasco,8,1962-09-07,Secretaría de Cultura/INBA,Ciudad de México,Cuauhtémoc,Peralvillo 55,Col. Morelos,06200,55 5772 0542,https://inba.gob.mx/recinto/28,,,galeria.velasco@gmail.com,https://www.facebook.com/profile.php?id=100057869910759,GJMVmx,https://www.instagram.com/galeriajmvelasco/?hl=es,-99.13257,19.4485,3,0,http://sic.gob.mx/ficha.php?table=museo&table_id=2428,2024-04-16 14:02:38-06,55,Peralvillo,,
2217,Galería de Arte de la SHCP,8,1982-01-01,SHCP/Dirección General de la Conservaduría de Palacio Nacional y Patrimonio Cultural,Ciudad de México,Cuauhtémoc,República de Guatemala 8,Centro,06000,"55 3688 1100 exts. 81666, 81656",https://www.gob.mx/palacionacional,,,difusioncultural@hacienda.gob.mx,,,,-99.13374,19.43519,0,0,http://sic.gob.mx/ficha.php?table=museo&table_id=2217,2023-07-17 07:17:54-06,8,República de Guatemala,,
970,"Galería de Historia, Museo del Caracol",7,1960-11-21,Secretaría de Cultura/INAH,Ciudad de México,Miguel Hidalgo,Rampa de acceso al Castillo de Chapultepec s/n,"Col. San Miguel Chapultepec,  1a. sección",11580, 55 5211 5239.,https://www.caracol.inah.gob.mx/,"https://lugares.inah.gob.mx/es/museos-inah/museo/454-galer%C3%ADa-de-historia,-museo-del-caracol.html?lugar_id=454&lugar_tipo=museos",https://lugares.inah.gob.mx/lugar-90-es,ignacio_luna@inah.gob.mx,https://www.facebook.com/museo.delcaracol,,,-99.1833,19.41895,13,1,http://sic.gob.mx/ficha.php?table=museo&table_id=970,2024-05-17 11:08:42-06,s/n,Rampa de acceso al Castillo de Chapultepec,,
1464,Galerías de la Antigua Academia de San Carlos,2,2010-11-03,UNAM/Facultad de Artes y Diseño,Ciudad de México,Cuauhtémoc,"Academia 22, piso 1","Antiguo Barrio Universitario, Centro Histórico",06060,55 5522 3387 ext. 214,http://academiasancarlos.unam.mx/,		   				 				    			 				 			,,difusion.cultural.aasc@fad.unam.mx,https://www.facebook.com/AcademiaDeSanCarlos/,,,-99.12878,19.43302,9,8,http://sic.gob.mx/ficha.php?table=museo&table_id=1464,2021-03-04 04:29:20-06,22,Academia,piso 1,
503,Herbario Medicinal del IMSS,1,1978-06-01,Instituto Mexicano del Seguro Social,Ciudad de México,Cuauhtémoc,Av. Cuauhtémoc 330,Col. Doctores,06720,55 5588 5607,https://www.imss.gob.mx/prensa/archivo/202406/286,,,herbarioimss@yahoo.com.mx,,,,-99.15325,19.40772,-1,-1,http://sic.gob.mx/ficha.php?table=museo&table_id=503,2024-07-02 12:23:07-06,330,Av. Cuauhtémoc,,
478,La Casa Luis Barragán,2,1998-10-20,"Fundación de Arquitectura Tapatía Luis Barragán, A.C.",Ciudad de México,Miguel Hidalgo,Gral. Francisco Ramírez 14-16,Col. Ampliación Daniel Garza,11840,55 5272 4945,http://www.casaluisbarragan.org,,,casaluisbarragan@gmail.com,,Casa_Barragan,,-99.19241,19.4111,-1,-1,http://sic.gob.mx/ficha.php?table=museo&table_id=478,2022-04-18 03:52:39-05,14,Gral. Francisco Ramírez -,,
427,Laboratorio Arte Alameda,2,2000-01-01,Secretaría de Cultura/INBA,Ciudad de México,Cuauhtémoc,Calle Dr. Mora 7,Centro Histórico,06050,55 8647 5660,http://www.artealameda.bellasartes.gob.mx/,https://linktr.ee/artealameda,,info.artealameda@gmail.com,https://www.facebook.com/artealameda/?ref=br_rs,ArteAlameda,,-99.14677,19.4364,7,7,http://sic.gob.mx/ficha.php?table=museo&table_id=427,2024-02-07 06:00:45-06,7,Calle Dr. Mora,,
1600,"M68, Memorial de 1968 y Movimientos sociales",7,2007-10-22,UNAM/Centro Cultural Universitario Tlatelolco,Ciudad de México,Cuauhtémoc,Ricardo Flores Magón s/n,Col. Nonoalco Tlatelolco,06900,55 5583 4092,https://tlatelolco.unam.mx/cm68/,,,dg_ccut@unam.mx  ; medios.ccut@gmail.com,https://www.facebook.com/CCUTlatelolco/,ccutlatelolco,https://www.instagram.com/m68_ccut/,-99.13712,19.44988,1,1,http://sic.gob.mx/ficha.php?table=museo&table_id=1600,2024-02-07 04:13:45-06,s/n,Ricardo Flores Magón,,
502,"Maná, Museo de la Biblia",7,2000-07-30,"Maná, Museo de las Sagradas Escrituras, A.C.",Ciudad de México,Miguel Hidalgo,Tonantzin 31,Col. Tlaxpana,11370,55 5591 0139,https://mana.museum/,,, informes@mana.museum ,https://www.facebook.com/ManaMuseo,,,-99.16908,19.44315,-1,-1,http://sic.gob.mx/ficha.php?table=museo&table_id=502,2023-08-21 03:02:34-06,31,Tonantzin,,
911,Mapoteca Manuel Orozco y Berra (MOB),6,1977-01-01,"Servicio de Información Agroalimentaria y Pesquera, Secretaría de Agricultura Ganadería Desarrollo Rural Pesca y Alimentación",Ciudad de México,Miguel Hidalgo,Av. Observatorio 192,Col. Observatorio,11860,"55 3871 8500 exts. 48147, 48205, 48206",http://mapoteca.siap.gob.mx/,,,mmoyb@siap.gob.mx,,,,-99.19625,19.40351,-1,-1,http://sic.gob.mx/ficha.php?table=museo&table_id=911,2023-09-26 04:12:36-06,192,Av. Observatorio,,
1532,Mundo Chocolate Museo (MUCHO),6,2010-05-24,"Fundación MUCHO, A.C.",Ciudad de México,Cuauhtémoc,Milán 45 esq. Roma,Col. Juárez,06600,55 5535 0410,https://www.mucho.org.mx/,,,contacto@mucho.org.mx,https://es-la.facebook.com/muchomuseochocolate/,,,-99.15718,19.42938,9,-1,http://sic.gob.mx/ficha.php?table=museo&table_id=1532,2024-07-16 11:39:45-06,45,Milán  esq. Roma,,
1109,Museo Archivo de la Fotografía (MAF),2,2006-12-12,Secretaría de Cultura de la Ciudad de México,Ciudad de México,Cuauhtémoc,República de Guatemala 34-38,Centro Histórico,06010,55 2616 7057,https://www.cultura.cdmx.gob.mx/recintos/maf,,,museoarchivofotografia@gmail.com,https://es-la.facebook.com/pg/mafmuseo/about/?ref=page_internal,mafcultura,https://www.instagram.com/mafmuseo/?locale=ne_NP&hl=ar,-99.13214,19.43486,3,3,http://sic.gob.mx/ficha.php?table=museo&table_id=1109,2024-06-28 11:48:58-06,34,República de Guatemala -,,
2236,Museo Art Toys,8,2017-12-01,No disponible,Ciudad de México,Cuauhtémoc,Av. 5 de Mayo 23,Centro,06010,55 67 11 51 13,http://museoarttoys.com/#sobrenosotros,https://www.igcomics.mx/,,museoarttoys@gmail.com,https://es-la.facebook.com/MuseoArtToys/,,,-99.13854,19.43425,0,0,http://sic.gob.mx/ficha.php?table=museo&table_id=2236,2024-01-26 06:28:27-06,5,Av.  de Mayo,,
2202,Museo Banco de México,8,2021-09-27,Banco de México ,Ciudad de México,Cuauhtémoc,"Av. 5 de Mayo, núm. 2",Centro Histórico,06000,55 5237 2000,https://museobancodemexico.mx/,,, contacto.museo@banxico.org.mx,https://www.facebook.com/museobancodemexico,MuseoBdM ,,-99.14041,19.43491,4,1,http://sic.gob.mx/ficha.php?table=museo&table_id=2202,2022-01-11 07:41:47-06,2,"Av. 5 de Mayo,",,
2181,Museo Casa Presidencial Lázaro Cárdenas,8,2020-10-19,Secretaría de Cultura del Gobierno de México,Ciudad de México,Miguel Hidalgo,Complejo Cultural Los Pinos,"Col. San Miguel Chapultepec, 1ra sección",11850,55 41550200 ext. 2412,https://lospinos.cultura.gob.mx/espacios/detalle/casa-presidencial-lazaro-cardenas,,,contactolospinos@cultura.gob.mx,https://www.facebook.com/LosPinos.Cultura,,,-99.19182,19.41485,14,0,http://sic.gob.mx/ficha.php?table=museo&table_id=2181,2024-02-29 13:36:19-06,s/n,Complejo Cultural Los Pinos,,
965,Museo Casa de Carranza,7,1961-02-01,Secretaría de Cultura/INAH,Ciudad de México,Cuauhtémoc,Río Lerma 35 esq. Río Amazonas,Col. Cuauhtémoc dir_casacarranza@inah.gob.mx,06500,55 5535 2920,,,https://lugares.inah.gob.mx/lugar-69-es,dir_casacarranza@inah.gob.mx; casa_carranza.museo@inah.gob.mx,https://www.facebook.com/MCCINAH/,mcasacarranza,,-99.16348,19.43118,13,-1,http://sic.gob.mx/ficha.php?table=museo&table_id=965,2023-12-14 04:23:28-06,35,Río Lerma  esq. Río Amazonas,,
548,Museo Casa de la Bola,2,1991-05-27,"Fundación Cultural Antonio Haghenbeck de la Lama, I.A.P.",Ciudad de México,Miguel Hidalgo,Av. Parque Lira 136,Col. Tacubaya,11860,55 2614 0164,http://www.museoshaghenbeck.mx/,https://www.museoshaghenbeck.mx/museo-casa-de-la-bola/,,newsletter@museoshaghenbeck.mx,https://www.facebook.com/museoshaghenbeck/,https://twitter.com/mhaghenbeck,,-99.18867,19.4046,-1,-1,http://sic.gob.mx/ficha.php?table=museo&table_id=548,2024-11-12 09:33:07-06,136,Av. Parque Lira,,
1538,Museo Casa de la Memoria Indómita,7,2012-06-14,Comité ¡Eureka!/,Ciudad de México,Cuauhtémoc,Regina 66,Centro,06000,55 5709 1512 ,https://museocasadelamemoriaindomita.mx/,https://es-la.facebook.com/pages/category/Cause/Museo-Casa-de-la-Memoria-Indomita-386806111517120/,,comunicacion@museocasadelamemoriaindomita.com,,,,-99.13481,19.42769,8,1,http://sic.gob.mx/ficha.php?table=museo&table_id=1538,2021-08-02 03:32:22-05,66,Regina,,
2417,Museo Casa de las Mil Muñecas,8,2024-02-09,Particular,Ciudad de México,Cuauhtémoc,Av. Chapultepec 420,Col. Roma Norte,06700,55 5922 8451,https://xn--museodelasmilmuecas-93b.com/,,,contacto@casamilmunecas.com,https://www.facebook.com/p/Casa-de-las-mil-mu%C3%B1ecas-100057371534612/?locale=es_LA,,https://www.instagram.com/casadelasmilmunecascdmx,-99.16857,19.42201,4,1,http://sic.gob.mx/ficha.php?table=museo&table_id=2417,2024-06-24 12:17:03-06,420,Av. Chapultepec,,
2075,Museo Centro de la Imagen,8,1994-05-04,Secretaría de Cultura,Ciudad de México,Cuauhtémoc,Plaza de la Ciudadela 2,Centro Histórico,06040,55 4155 0850,https://centrodelaimagen.cultura.gob.mx,https://pics-ci.com.mx/,,direccion_ci@cultura.gob.mx; comunicacion_ci@cultura.gob.mx,https://www.facebook.com/centrodelaimagen.mx/,cimagen,,-99.14886,19.42902,14,14,http://sic.gob.mx/ficha.php?table=museo&table_id=2075,2021-05-04 07:39:54-05,2,Plaza de la Ciudadela,,
2161,Museo Estelar,8,2019-11-01,"Museo Estelar, A.C.",Ciudad de México,Benito Juárez,Santa Margarita 519,Col. Insurgentes San Borja,03100,,https://museoestelar.com/,,,contacto@museoestelar.com,https://www.facebook.com/MUSEOESTELAR/,,https://www.instagram.com/museo_estelar/,-99.17578,19.38186,2,0,http://sic.gob.mx/ficha.php?table=museo&table_id=2161,2024-06-28 11:59:21-06,519,Santa Margarita,,
344,Museo Experimental El Eco,2,2005-09-07,UNAM/Dirección General de Artes Visuales,Ciudad de México,Cuauhtémoc,Sullivan 43,Col. San Rafael,06470,55 5535 5186,http://www.eleco.unam.mx,,,contacto@eleco.unam.mx,,museo_el_eco,,-99.16126,19.43339,-1,-1,http://sic.gob.mx/ficha.php?table=museo&table_id=344,2024-07-16 11:43:54-06,43,Sullivan,,
1114,Museo Ferrocarrilero Víctor Flores Morales,7,2001-07-17,Sindicato de Trabajadores Ferrocarrileros de la República Mexicana,Ciudad de México,Cuauhtémoc,Av. Ricardo Flores Magón 206,Col. Guerrero,06300,(55) 5597 1009,,,,museoferrovm@gmail.com; marquezgonzalez@hotmail.com,https://www.facebook.com/Museo-Ferrocarrilero-Victor-Flores-1145575075547310/?ref=page_internal,,,-99.15125,19.45383,-1,-1,http://sic.gob.mx/ficha.php?table=museo&table_id=1114,2020-05-07 17:31:03-05,206,Av. Ricardo Flores Magón,,
2168,Museo Foro Valparaíso,8,2019-11-15,"Banco Nacional de México, S.A.",Ciudad de México,Cuauhtémoc,Venustiano Carranza 60,Centro Histórico,06000,55 1226 4290,https://www.banamex.com/valparaiso/index.html,https://es.wikipedia.org/wiki/Palacio_de_los_Condes_de_San_Mateo_de_Valparaiso,,valparaiso@citi.com,https://www.facebook.com/forovalparaisomx,,https://www.instagram.com/forovalparaisomx/,-99.13628,19.43142,22,1,http://sic.gob.mx/ficha.php?table=museo&table_id=2168,2024-07-16 12:26:34-06,60,Venustiano Carranza,,
462,Museo Franz Mayer,2,1986-07-15,Banco de México Fideicomiso Cultural Franz Mayer,Ciudad de México,Cuauhtémoc,Av. Hidalgo 45,Centro,06300,55 5518 2265,https://franzmayer.org.mx/,,,museo@franzmayer.org.mx,https://www.facebook.com/MuseoFranzMayerMexico/,el_mayer,https://www.instagram.com/museofranzmayer/,-99.14321,19.43726,3,-1,http://sic.gob.mx/ficha.php?table=museo&table_id=462,2024-08-01 09:32:06-06,45,Av. Hidalgo,,
1617,Museo Galería Nuestra Cocina Duque de Herdez,6,2000-01-01,"Fundación Herdez, A.C.",Ciudad de México,Cuauhtémoc,Seminario 18,Centro Histórico,06060,55 5522 8860,http://fundacionherdez.com/,,,fundacion@herdez.com,https://www.facebook.com/FundacionHerdezAC/,Fundacion.Herdezac,,-99.1318,19.43366,4,-1,http://sic.gob.mx/ficha.php?table=museo&table_id=1617,2020-04-24 11:58:03-05,18,Seminario,,
1560,"Museo Indígena, Antigua Aduana de Peralvillo",1,2012-08-08,Instituto Nacional de los Pueblos Indígenas (INPI),Ciudad de México,Cuauhtémoc,Paseo de la Reforma Nte. 707,Col. Morelos,06200,55 5529 4699,http://www.inpi.gob.mx/museoindigena/,,,rlopezb@inpi.gob.mx,https://es-la.facebook.com/MiMuseoIndigena/,MiMuseoIndigena,,-99.13146,19.45157,3,-1,http://sic.gob.mx/ficha.php?table=museo&table_id=1560,2022-04-18 06:43:37-05,707,Paseo de la Reforma Nte.,,
1096,Museo Interactivo de Economía (MIDE),5,2006-07-12,Fideicomiso del Espacio Cultural y Educativo Betlemitas,Ciudad de México,Cuauhtémoc,Tacuba 17,Centro,06000,55 5130 4600 ext. 2900,http://www.mide.org.mx/,,,atencion.publico@mide.org.mx; direccion.general@mide.org.mx; relaciones.publicas@mide.org.mx,https://www.facebook.com/museo.mide,MuseoMIDE,,-99.13842,19.43516,-1,-1,http://sic.gob.mx/ficha.php?table=museo&table_id=1096,2021-03-05 06:14:00-06,17,Tacuba,,
2029,Museo Interactivo de la Bolsa Mexicana de Valores,8,2019-04-08,Grupo BMV,Ciudad de México,Cuauhtémoc,Paseo de la Reforma 255 Mezzanine,Col. Cuauhtémoc,06500,5553 4290 00,http://www.bmv.com.mx/es/Grupo_BMV/Experiencia_Bolsa,https://www.mubo.com.mx/pages/default,,mubo@grupobmv.com.mx,https://www.facebook.com/BolsaMexicanaValores,,,-99.16448,19.42919,0,0,http://sic.gob.mx/ficha.php?table=museo&table_id=2029,2024-01-30 08:38:51-06,255,Paseo de la Reforma  Mezzanine,,
459,Museo José Luis Cuevas,2,1992-07-08,"Fundación Maestro José Luis Cuevas Novelo, A.C.",Ciudad de México,Cuauhtémoc,Academia 13,Centro Histórico,06060,55 5542 8959,http://www.museojoseluiscuevas.com.mx/inicio.html,,,bccuevas@museojoseluiscuevas.com.mx; fundacionjlcuevas@museojoseluiscuevas.com.mx,https://www.facebook.com/museojoseluiscuevasoficial?ref=hl,MuseoCuevas,,-99.12912,19.43363,7,6,http://sic.gob.mx/ficha.php?table=museo&table_id=459,2021-03-05 06:17:53-06,13,Academia,,
1484,Museo Jumex,2,2013-11-19,"Fundación Jumex Arte Contemporáneo, A.C.",Ciudad de México,Miguel Hidalgo,Blvd. Miguel de Cervantes Saavedra 303,Col. Granada,11520,55 5395 2618,https://www.fundacionjumex.org/es,,,info@fundacionjumex.org,,Coleccion_Jumex,,-99.20367,19.44041,-1,-1,http://sic.gob.mx/ficha.php?table=museo&table_id=1484,2020-04-20 12:27:19-05,303,Blvd. Miguel de Cervantes Saavedra,,
2066,Museo Kaluz,8,2020-10-23,Fundación Cultural Kalux,Ciudad de México,Cuauhtémoc,Av. Hidalgo 85,Col. Guerrero,06300,55 2345 3168,https://museokaluz.org/,,,info@museokaluz.org; maregalado@kaluz.com,https://www.facebook.com/MuseoKaluz,,,-99.14589,19.43746,18,18,http://sic.gob.mx/ficha.php?table=museo&table_id=2066,2022-04-08 07:08:30-05,85,Av. Hidalgo,,
811,Museo Manuel Tolsá,2,1999-02-08,UNAM/Facultad de Ingeniería,Ciudad de México,Cuauhtémoc,Tacuba 5,Centro,06000,55 5623 2981,http://museomanueltolsa.unam.mx/,,,teresa.martinez@mineria.unam.mx,https://www.facebook.com/PalacioDeMineria/?ref=hl,PalacioMineria,,-99.13926,19.43573,-1,-1,http://sic.gob.mx/ficha.php?table=museo&table_id=811,2020-04-23 12:54:22-05,5,Tacuba,,
1313,Museo Memoria y Tolerancia,7,2010-10-18,"Memoria y Tolerancia, A.C.",Ciudad de México,Cuauhtémoc,Av. Juárez 8,Centro,06010,55 5130 5555 Ext. 1045,https://www.myt.org.mx/,,,info@myt.org.mx,https://www.facebook.com/MuseoMemoriayTolerancia/,museomyt,,-99.14467,19.43415,1,1,http://sic.gob.mx/ficha.php?table=museo&table_id=1313,2024-06-25 10:56:33-06,8,Av. Juárez,,
1212,Museo Mexicano del Diseño (MUMEDI),2,2002-01-01,"Fundación Mumedi, A.C.",Ciudad de México,Cuauhtémoc,Francisco I. Madero 74,Centro Histórico,06000,55 5510 8609,https://www.mumedi.mx/,,,info@mumedi.org,https://www.facebook.com/Mumedi/,MUMEDIAmigos,,-99.1346,19.43333,-1,-1,http://sic.gob.mx/ficha.php?table=museo&table_id=1212,2024-03-04 05:47:52-06,74,Francisco I. Madero,,
661,Museo Mural Diego Rivera,2,1988-02-19,Secretaría de Cultura/INBA,Ciudad de México,Cuauhtémoc,Balderas s/n esq. Colón,Centro Histórico,06040,55  1555 1900,https://museomuraldiegorivera.bellasartes.gob.mx/,,,mmdr.informes@inba.gob.mx,https://www.facebook.com/pg/museomural.diegorivera/about/,MuseoMural,,-99.14685,19.43604,1,-1,http://sic.gob.mx/ficha.php?table=museo&table_id=661,2021-03-05 07:32:46-06,s/n,Balderas  esq. Colón,,
807,Museo Nacional de Antropología (MNA),1,1964-09-17,Secretaría de Cultura/INAH,Ciudad de México,Miguel Hidalgo,Av. Paseo de la Reforma esq. Calz. Gandhi s/n,Col. Chapultepec Polanco ,11560,55 5553 6266,https://www.mna.inah.gob.mx/,https://twitter.com/mna_inah?lang=es,https://lugares.inah.gob.mx/lugar-87-es,atención.mna@inah.gob.mx,https://www.facebook.com/MNAinah/,,,-99.18661,19.4261,22,2,http://sic.gob.mx/ficha.php?table=museo&table_id=807,2024-05-13 16:36:22-06,s/n,Av. Paseo de la Reforma esq. Calz. Gandhi,,
716,Museo Nacional de Arquitectura,2,1984-01-26,Secretaría de Cultura/INBA/Dirección de Arquitectura y Conservación del Patrimonio Artístico Inmueble,Ciudad de México,Cuauhtémoc,Av. Juárez 1,Centro Histórico,06050,"55 8647 5360 exts. 6311, 6312",https://munarq.inba.gob.mx/,,,difusiondacpai@inba.gob.mx,https://www.facebook.com/MUNARQINBA/,,,-99.14129,19.43538,-1,-1,http://sic.gob.mx/ficha.php?table=museo&table_id=716,2023-10-17 08:17:42-06,1,Av. Juárez,,
439,Museo Nacional de Arte (MUNAL),2,1982-07-23,Secretaría de Cultura/INBA,Ciudad de México,Cuauhtémoc,Tacuba 8,Centro Histórico,06010,55 8647 5430 ext. 5035,http://www.munal.mx/en,,,elias.pina@munal.inba.gob.mx,https://www.facebook.com/munal.inba,MUNALmx,,-99.13906,19.43638,-1,-1,http://sic.gob.mx/ficha.php?table=museo&table_id=439,2023-02-16 04:34:50-06,8,Tacuba,,
673,Museo Nacional de Historia Castillo de Chapultepec,7,1944-09-27,Secretaría de Cultura/INAH,Ciudad de México,Miguel Hidalgo,"Bosque de Chapultepec, primera sección",Col. Polanco V sección,11560,"55 4040 5214, 55 4040 5200",https://mnh.inah.gob.mx/,https://www.mexicoescultura.com/recinto/53752/museo-nacional-de-historia-castillo-de-chapultepec.html,https://lugares.inah.gob.mx/lugar-72-es,"difusion.mnh@inah.gob.mx, salvador_rueda@inah.gob.mx",,Museodehistoria,,-99.18204,19.42036,8,-1,http://sic.gob.mx/ficha.php?table=museo&table_id=673,2024-05-03 11:59:33-06,s/n,"Bosque de Chapultepec, primera sección",,
804,Museo Nacional de San Carlos,2,1968-06-12,Secretaría de Cultura/INBA,Ciudad de México,Cuauhtémoc,Puente de Alvarado 50,Col. Tabacalera,06030,55 8647 5800 al 03,http://www.mnsancarlos.com/,,,mnsc.info@inba.gob.mx;  difusion.mnsc@gmail.com,https://es-la.facebook.com/museosancarlos/,MNacSanCarlos,https://www.instagram.com/museo_sancarlos/,-99.1519,19.43804,10,4,http://sic.gob.mx/ficha.php?table=museo&table_id=804,2023-09-29 06:24:41-06,50,Puente de Alvarado,,
977,Museo Nacional de la Cartografía,7,2000-02-19,Secretaría de la Defensa Nacional (SEDENA)/Dirección General de Archivo e Historia,Ciudad de México,Miguel Hidalgo,Av. Observatorio 94,Col. Tacubaya,11870,55 5272 6686,http://www.gob.mx/sedena/acciones-y-programas/museo-nacional-de-la-cartografia,,,mus_carto@mail.sedena.gob.mx ,,,,-99.19171,19.40433,-1,-1,http://sic.gob.mx/ficha.php?table=museo&table_id=977,2022-02-24 04:50:04-06,94,Av. Observatorio,,
